Trial_ID,Start_X,Start_Y,End_X,End_Y,Target_R,Distance_Euclidean,Timestamp_ms,Mouse_X,Mouse_Y
1,648,499,471,304,15,263.35,0,641,498
1,648,499,471,304,15,263.35,16,641,498
1,648,499,471,304,15,263.35,32,641,498
1,648,499,471,304,15,263.35,47,641,498
1,648,499,471,304,15,263.35,64,641,498
1,648,499,471,304,15,263.35,78,641,498
1,648,499,471,304,15,263.35,90,641,498
1,648,499,471,304,15,263.35,109,642,498
1,648,499,471,304,15,263.35,123,642,498
1,648,499,471,304,15,263.35,140,642,498
1,648,499,471,304,15,263.35,153,643,497
1,648,499,471,304,15,263.35,172,643,497
1,648,499,471,304,15,263.35,188,643,497
1,648,499,471,304,15,263.35,204,643,497
1,648,499,471,304,15,263.35,220,643,497
1,648,499,471,304,15,263.35,235,643,497
1,648,499,471,304,15,263.35,250,643,497
1,648,499,471,304,15,263.35,266,643,497
1,648,499,471,304,15,263.35,275,637,493
1,648,499,471,304,15,263.35,285,620,480
1,648,499,471,304,15,263.35,295,588,459
1,648,499,471,304,15,263.35,307,550,433
1,648,499,471,304,15,263.35,317,525,415
1,648,499,471,304,15,263.35,327,508,399
1,648,499,471,304,15,263.35,337,497,385
1,648,499,471,304,15,263.35,347,490,376
1,648,499,471,304,15,263.35,357,483,366
1,648,499,471,304,15,263.35,367,479,358
1,648,499,471,304,15,263.35,377,477,353
1,648,499,471,304,15,263.35,389,476,349
1,648,499,471,304,15,263.35,400,476,347
1,648,499,471,304,15,263.35,411,477,346
1,648,499,471,304,15,263.35,422,477,345
1,648,499,471,304,15,263.35,434,478,342
1,648,499,471,304,15,263.35,445,478,341
1,648,499,471,304,15,263.35,455,478,338
1,648,499,471,304,15,263.35,465,478,336
1,648,499,471,304,15,263.35,475,478,333
1,648,499,471,304,15,263.35,485,478,330
1,648,499,471,304,15,263.35,495,478,328
1,648,499,471,304,15,263.35,506,479,326
1,648,499,471,304,15,263.35,515,479,324
1,648,499,471,304,15,263.35,527,480,322
1,648,499,471,304,15,263.35,539,481,320
1,648,499,471,304,15,263.35,551,481,317
1,648,499,471,304,15,263.35,561,481,316
1,648,499,471,304,15,263.35,577,481,314
1,648,499,471,304,15,263.35,587,480,313
1,648,499,471,304,15,263.35,597,479,312
1,648,499,471,304,15,263.35,607,479,311
1,648,499,471,304,15,263.35,617,478,310
1,648,499,471,304,15,263.35,631,477,309
1,648,499,471,304,15,263.35,647,477,308
1,648,499,471,304,15,263.35,670,477,308
1,648,499,471,304,15,263.35,685,477,308
1,648,499,471,304,15,263.35,701,477,308
1,648,499,471,304,15,263.35,717,477,308
1,648,499,471,304,15,263.35,732,477,308
1,648,499,471,304,15,263.35,748,477,308
1,648,499,471,304,15,263.35,764,477,308
1,648,499,471,304,15,263.35,777,476,308
1,648,499,471,304,15,263.35,787,475,308
1,648,499,471,304,15,263.35,797,475,307
1,648,499,471,304,15,263.35,810,474,307
1,648,499,471,304,15,263.35,822,474,305
1,648,499,471,304,15,263.35,841,473,305
